subset,model_name,predictors,n,r2,adjusted_r2,pearson_r,pearson_p,spearman_r,spearman_p,notes
ResNet-18 / CIFAR-10-C,Flatness only,top_eigenvalue,9,0.1729842797129254,0.054839176814771906,0.415913788798743,0.2655391230376768,0.25,0.5164895523012261,small_n_warning
ResNet-18 / CIFAR-10-C,Curvature magnitude,"top_eigenvalue, trace_estimate",9,0.7515230015757616,0.6686973354343488,0.8669042632123583,0.002480470842027388,0.8166666666666667,0.00722478524635879,small_n_warning
ResNet-18 / CIFAR-10-C,Spectral concentration,"top_5_mass_ratio, lambda_max_over_topk_sum",9,0.0321116707195096,-0.2905177723739871,0.1791972955139376,0.6445704910922928,0.3666666666666667,0.3317398014330152,small_n_warning
ResNet-18 / CIFAR-10-C,Spectral entropy/rank,"spectral_entropy, effective_rank_entropy",9,0.14788272548214976,-0.13615636602380032,0.38455523073045034,0.3068245231835435,0.18333333333333335,0.6368198117628943,small_n_warning
ResNet-18 / CIFAR-10-C,Spectral redistribution,"top_5_mass_ratio, lambda_max_over_topk_sum, spectral_entropy, effective_rank_entropy",9,0.6737322334278233,0.3474644668556466,0.8208119354808525,0.006697807705672357,0.6666666666666667,0.049867230568885125,small_n_warning
ResNet-18 / CIFAR-10-C,Full geometry,"top_eigenvalue, trace_estimate, top_5_mass_ratio, lambda_max_over_topk_sum, spectral_entropy, effective_rank_entropy",9,0.9951570911631406,0.9806283646525622,0.9975756067402312,2.3047492656760976e-09,0.9833333333333333,1.936196303745925e-06,small_n_warning
ResNet-18 / CIFAR-100-C,Flatness only,top_eigenvalue,9,0.37691926336257076,0.28790772955722377,0.6139375077013708,0.07862117399244581,0.8499999999999999,0.0037047773275858133,small_n_warning
ResNet-18 / CIFAR-100-C,Curvature magnitude,"top_eigenvalue, trace_estimate",9,0.5823956599075455,0.4431942132100607,0.7631485175950652,0.01673881042594184,0.8499999999999999,0.0037047773275858133,small_n_warning
ResNet-18 / CIFAR-100-C,Spectral concentration,"top_5_mass_ratio, lambda_max_over_topk_sum",9,0.38070453087278155,0.1742727078303754,0.6170125856680573,0.0767159355722197,0.8499999999999999,0.0037047773275858133,small_n_warning
ResNet-18 / CIFAR-100-C,Spectral entropy/rank,"spectral_entropy, effective_rank_entropy",9,0.25752163902233793,0.010028852029783875,0.5074658993689508,0.16315374996503132,0.41666666666666663,0.26458604674749636,small_n_warning
ResNet-18 / CIFAR-100-C,Spectral redistribution,"top_5_mass_ratio, lambda_max_over_topk_sum, spectral_entropy, effective_rank_entropy",9,0.7870435811864854,0.5740871623729709,0.8871547673244424,0.0014209988653194538,0.8833333333333333,0.001590500423497869,small_n_warning
ResNet-18 / CIFAR-100-C,Full geometry,"top_eigenvalue, trace_estimate, top_5_mass_ratio, lambda_max_over_topk_sum, spectral_entropy, effective_rank_entropy",9,0.8741527431883294,0.49661097275331745,0.9349613591953035,0.0002166960947085178,0.9166666666666666,0.0005066190663052086,small_n_warning
Combined ResNet-18 only,Flatness only,top_eigenvalue,18,0.01528899034040232,-0.04625544776332258,0.12364865684835673,0.6249702532071271,0.23632610939112486,0.3451012488097786,
Combined ResNet-18 only,Curvature magnitude,"top_eigenvalue, trace_estimate",18,0.7843033930978958,0.7555438455109486,0.8856090520641124,1.0237129566123257e-06,0.6904024767801857,0.0015160249841227734,
Combined ResNet-18 only,Spectral concentration,"top_5_mass_ratio, lambda_max_over_topk_sum",18,0.4203372353081112,0.343048866682526,0.6483342003227283,0.0036125273218930044,0.6491228070175438,0.003558373943300947,
Combined ResNet-18 only,Spectral entropy/rank,"spectral_entropy, effective_rank_entropy",18,0.1257363738595566,0.0091678903741641,0.35459325128879277,0.1487894334251885,0.23219814241486067,0.3538383254251315,
Combined ResNet-18 only,Spectral redistribution,"top_5_mass_ratio, lambda_max_over_topk_sum, spectral_entropy, effective_rank_entropy",18,0.5053587602726999,0.3531614557412228,0.7108858982091991,0.0009426599439432358,0.5583075335397317,0.01603820039772077,
Combined ResNet-18 only,Full geometry,"top_eigenvalue, trace_estimate, top_5_mass_ratio, lambda_max_over_topk_sum, spectral_entropy, effective_rank_entropy",18,0.8454353760431809,0.7611273993394614,0.91947559839464,6.888473472765629e-08,0.760577915376677,0.00024790654537860496,
All residual formal runs,Flatness only,top_eigenvalue,27,0.02600047563979624,-0.012959505334611876,0.16124662985562316,0.421689287761196,0.02503052503052503,0.9013729592497146,
All residual formal runs,Curvature magnitude,"top_eigenvalue, trace_estimate",27,0.6988650273352732,0.6737704462798793,0.8359814754737528,5.678761291990669e-08,0.5543345543345543,0.002696277625336939,
All residual formal runs,Spectral concentration,"top_5_mass_ratio, lambda_max_over_topk_sum",27,0.3146154849445846,0.25750010868996664,0.5609059501775538,0.0023378508893158586,0.5525030525030524,0.002804188614599139,
All residual formal runs,Spectral entropy/rank,"spectral_entropy, effective_rank_entropy",27,0.144733391087294,0.07346117367790184,0.38043841957312124,0.050277082748719754,0.3107448107448107,0.114653513558603,
All residual formal runs,Spectral redistribution,"top_5_mass_ratio, lambda_max_over_topk_sum, spectral_entropy, effective_rank_entropy",27,0.32346614088776415,0.2004599846855395,0.5687408380692949,0.00196465439420869,0.47619047619047616,0.012042916415699679,
All residual formal runs,Full geometry,"top_eigenvalue, trace_estimate, top_5_mass_ratio, lambda_max_over_topk_sum, spectral_entropy, effective_rank_entropy",27,0.7683257842301773,0.6988235194992305,0.8765419466461246,2.051612794022698e-09,0.5897435897435896,0.0012060390799320296,
