target,dataset,architecture,model_family,predictors_short,n,r2,adjusted_r2,warning
cifar_c_acc_final,CIFAR-10-C,ResNet-18,clean_only,Clean,9,0.692,0.648,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-18,scalar_flatness,Clean+lambda,9,0.769,0.692,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-18,curvature_magnitude,Clean+lambda+Trace,9,0.907,0.852,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-18,entropy_rank,Clean+Rank+Entropy,9,0.835,0.737,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-18,full_available_geometry,Clean+lambda+Trace+Rank+Entropy,9,0.915,0.774,n_small
ood_gap,CIFAR-10-C,ResNet-18,clean_only,Clean,9,0.500,0.428,n_small
ood_gap,CIFAR-10-C,ResNet-18,scalar_flatness,Clean+lambda,9,0.625,0.500,n_small
ood_gap,CIFAR-10-C,ResNet-18,curvature_magnitude,Clean+lambda+Trace,9,0.850,0.759,n_small
ood_gap,CIFAR-10-C,ResNet-18,entropy_rank,Clean+Rank+Entropy,9,0.733,0.573,n_small
ood_gap,CIFAR-10-C,ResNet-18,full_available_geometry,Clean+lambda+Trace+Rank+Entropy,9,0.863,0.634,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-34,clean_only,Clean,9,0.635,0.583,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-34,scalar_flatness,Clean+lambda,9,0.692,0.590,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-34,curvature_magnitude,Clean+lambda+Trace,9,0.708,0.532,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-34,entropy_rank,Clean+Rank+Entropy,9,0.686,0.497,n_small
cifar_c_acc_final,CIFAR-10-C,ResNet-34,full_available_geometry,Clean+lambda+Trace+Rank+Entropy,9,0.729,0.278,n_small
ood_gap,CIFAR-10-C,ResNet-34,clean_only,Clean,9,0.455,0.377,n_small
ood_gap,CIFAR-10-C,ResNet-34,scalar_flatness,Clean+lambda,9,0.540,0.387,n_small
ood_gap,CIFAR-10-C,ResNet-34,curvature_magnitude,Clean+lambda+Trace,9,0.563,0.301,n_small
ood_gap,CIFAR-10-C,ResNet-34,entropy_rank,Clean+Rank+Entropy,9,0.530,0.248,n_small
ood_gap,CIFAR-10-C,ResNet-34,full_available_geometry,Clean+lambda+Trace+Rank+Entropy,9,0.596,-0.078,n_small
